"MCGS_TIME","MCGS_TIMEMS","Cluster1_Voltage","Cluster1_Current","Cluster1_Run_State","Cluster1_Charge_State","Cluster1_Max_Cell_Vol","Cluster1_Max_Cell_Vol_Id","Cluster1_Min_Cell_Vol","Cluster1_Min_Cell_Vol_Id","Cluster1_Max_Cell_Temp","Cluster1_Max_Cell_Temp_Id","Cluster1_Min_Cell_Temp","Cluster1_Min_Cell_Temp_Id","Cluster1_SOC","Cluster1_SOH","Cluster1Ave_Cell_Vol","Cluster1AveTemp","Cluster1Chg_Current_Limit","Cluster1Dsg_Current_Limit","Cluster1Insulation","Cluster1PosInsulation","Cluster1NegInsulation","Cluster1PrechargeVol","Cluster1PrechgState","Cluster1PositiveRelayState","Cluster1NegativeRelayState","Cluster1PrechargeRelayState","Cluster1DisconnectorState"
2021/06/10 20:01:18,678,8098.000000,-1148.000000,0.000000,2.000000,3402.000000,133.000000,3379.000000,24.000000,305.000000,26.000000,264.000000,148.000000,162.000000,1000.000000,3392.000000,278.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:23,681,8098.000000,-1148.000000,0.000000,2.000000,3402.000000,133.000000,3380.000000,24.000000,305.000000,26.000000,265.000000,148.000000,162.000000,1000.000000,3392.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:28,681,8099.000000,-1146.000000,0.000000,2.000000,3402.000000,133.000000,3380.000000,24.000000,305.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:33,684,8099.000000,-1149.000000,0.000000,2.000000,3403.000000,133.000000,3380.000000,24.000000,306.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:38,680,8099.000000,-1144.000000,0.000000,2.000000,3403.000000,133.000000,3380.000000,24.000000,306.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:43,687,8099.000000,-1148.000000,0.000000,2.000000,3403.000000,133.000000,3380.000000,24.000000,306.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:48,680,8100.000000,-1148.000000,0.000000,2.000000,3403.000000,133.000000,3381.000000,24.000000,306.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:53,681,8100.000000,-1148.000000,0.000000,2.000000,3403.000000,133.000000,3381.000000,24.000000,306.000000,26.000000,265.000000,148.000000,166.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:01:58,682,8101.000000,-1151.000000,0.000000,2.000000,3403.000000,133.000000,3381.000000,24.000000,306.000000,26.000000,265.000000,148.000000,170.000000,1000.000000,3393.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
2021/06/10 20:02:03,682,8101.000000,-1148.000000,0.000000,2.000000,3403.000000,133.000000,3381.000000,24.000000,306.000000,26.000000,265.000000,148.000000,170.000000,1000.000000,3394.000000,279.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7790.000000,3.000000,1,1,0,1
