"MCGS_TIME","MCGS_TIMEMS","Cluster2_Voltage","Cluster2_Current","Cluster2_Run_State","Cluster2_Charge_State","Cluster2_Max_Cell_Vol","Cluster2_Max_Cell_Vol_Id","Cluster2_Min_Cell_Vol","Cluster2_Min_Cell_Vol_Id","Cluster2_Max_Cell_Temp","Cluster2_Max_Cell_Temp_Id","Cluster2_Min_Cell_Temp","Cluster2_Min_Cell_Temp_Id","Cluster2_SOC","Cluster2_SOH","Cluster2Ave_Cell_Vol","Cluster2AveTemp","Cluster2Chg_Current_Limit","Cluster2Dsg_Current_Limit","Cluster2Insulation","Cluster2PosInsulation","Cluster2NegInsulation","Cluster2PrechargeVol","Cluster2PrechgState","Cluster2PositiveRelayState","Cluster2NegativeRelayState","Cluster2PrechargeRelayState","Cluster2DisconnectorState"
2021/06/11 00:00:03,675,8273.000000,-1176.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,358.000000,231.000000,290.000000,238.000000,585.000000,1000.000000,3441.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:08,688,8273.000000,-1174.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,585.000000,1000.000000,3441.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:13,681,8274.000000,-1174.000000,0.000000,2.000000,3473.000000,237.000000,3422.000000,41.000000,359.000000,231.000000,290.000000,238.000000,585.000000,1000.000000,3441.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:18,677,8274.000000,-1167.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3441.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:23,681,8274.000000,-1174.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3441.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:28,684,8274.000000,-1170.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:33,678,8274.000000,-1170.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:38,680,8274.000000,-1170.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:43,680,8274.000000,-1169.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,589.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:48,686,8274.000000,-1170.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:53,681,8275.000000,-1176.000000,0.000000,2.000000,3473.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:00:58,678,8275.000000,-1167.000000,0.000000,2.000000,3474.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:01:03,685,8275.000000,-1170.000000,0.000000,2.000000,3474.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:01:08,682,8275.000000,-1167.000000,0.000000,2.000000,3474.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
2021/06/11 00:01:13,680,8276.000000,-1174.000000,0.000000,2.000000,3474.000000,237.000000,3423.000000,41.000000,359.000000,231.000000,290.000000,238.000000,593.000000,1000.000000,3442.000000,327.000000,1250.000000,1250.000000,20000.000000,20000.000000,20000.000000,7831.000000,3.000000,1,1,0,1
